family_type,role,sex,age,count
single,single,M,30,3
single,single,M,40,6
single,single,M,50,2
couple,husband,M,30,1
couple,husband,M,40,3
couple,husband,M,50,2
couple,husband,M,60,1
couple,wife,F,40,8
couple,wife,F,50,1
couple,wife,F,60,1
couple_and_children,husband,M,30,1
couple_and_children,husband,M,40,2
couple_and_children,husband,M,50,1
couple_and_children,husband,M,60,1
couple_and_children,wife,F,30,6
couple_and_children,wife,F,40,3
couple_and_children,wife,F,50,2
couple_and_children,wife,F,60,2
couple_and_children,child,M,20,10
couple_and_children,child,M,30,4
couple_and_children,child,F,20,6
father_and_children,father,M,20,2
father_and_children,father,M,30,1
father_and_children,father,M,40,4
father_and_children,father,M,50,3
father_and_children,child,M,20,7
father_and_children,child,M,30,4
father_and_children,child,M,40,1
father_and_children,child,F,20,10
mother_and_children,mother,F,30,3
mother_and_children,mother,F,40,2
mother_and_children,mother,F,50,1
mother_and_children,child,M,20,9
mother_and_children,child,M,30,3
mother_and_children,child,M,40,1
mother_and_children,child,F,20,10
mother_and_children,child,F,30,2
couple_and_parents,husband,M,20,2
couple_and_parents,husband,M,30,1
couple_and_parents,husband,M,40,5
couple_and_parents,husband,M,50,2
couple_and_parents,husband,M,60,1
couple_and_parents,husband,M,70,1
couple_and_parents,wife,F,20,1
couple_and_parents,wife,F,30,3
couple_and_parents,wife,F,40,4
couple_and_parents,wife,F,50,3
couple_and_parents,wife,F,60,2
couple_and_parents,parent,M,40,1
couple_and_parents,parent,M,50,1
couple_and_parents,parent,M,60,3
couple_and_parents,parent,M,70,7
couple_and_parents,parent,F,60,2
couple_and_parents,parent,F,70,4
couple_and_a_parent,husband,M,30,5
couple_and_a_parent,husband,M,40,2
couple_and_a_parent,husband,M,50,3
couple_and_a_parent,husband,M,60,1
couple_and_a_parent,wife,F,30,2
couple_and_a_parent,wife,F,40,1
couple_and_a_parent,wife,F,50,1
couple_and_a_parent,wife,F,60,1
couple_and_a_parent,parent,M,60,3
couple_and_a_parent,parent,M,70,6
couple_and_a_parent,parent,F,60,4
couple_and_a_parent,parent,F,70,5
couple_children_and_parents,husband,M,30,2
couple_children_and_parents,husband,M,40,1
couple_children_and_parents,husband,M,50,1
couple_children_and_parents,husband,M,60,3
couple_children_and_parents,wife,F,20,2
couple_children_and_parents,wife,F,30,1
couple_children_and_parents,wife,F,40,2
couple_children_and_parents,wife,F,50,2
couple_children_and_parents,child,M,20,5
couple_children_and_parents,child,M,30,1
couple_children_and_parents,child,F,20,6
couple_children_and_parents,child,F,30,2
couple_children_and_parents,parent,M,60,3
couple_children_and_parents,parent,M,70,3
couple_children_and_parents,parent,F,50,1
couple_children_and_parents,parent,F,60,2
couple_children_and_parents,parent,F,70,2
couple_children_and_a_parent,husband,M,30,2
couple_children_and_a_parent,husband,M,40,3
couple_children_and_a_parent,husband,M,50,2
couple_children_and_a_parent,husband,M,60,2
couple_children_and_a_parent,wife,F,40,9
couple_children_and_a_parent,wife,F,50,4
couple_children_and_a_parent,child,M,20,4
couple_children_and_a_parent,child,M,30,1
couple_children_and_a_parent,child,M,40,1
couple_children_and_a_parent,child,F,20,5
couple_children_and_a_parent,child,F,30,2
couple_children_and_a_parent,parent,M,60,2
couple_children_and_a_parent,parent,M,70,5
couple_children_and_a_parent,parent,F,60,6
couple_children_and_a_parent,parent,F,70,3
