family_type,household_size,count
single,1,20
couple,2,20
couple_and_children,3,10
couple_and_children,4,2
couple_and_children,5,8
father_and_children,2,12
father_and_children,3,1
father_and_children,4,7
mother_and_children,2,4
mother_and_children,3,16
mother_and_children,4,0
couple_and_parents,3,8
couple_and_parents,4,12
couple_and_a_parent,3,20
couple_children_and_parents,4,2
couple_children_and_parents,5,18
couple_children_and_parents,6,0
couple_children_and_a_parent,4,5
couple_children_and_a_parent,5,15
