n_households,max_iters,mode,seed,sa_peak_rss_bytes,sa_elapsed_seconds,sa_oom_killed,sa_exit_code,html_peak_rss_bytes,html_elapsed_seconds,html_oom_killed
1000,20000,dry-run,1,85147648,0.671,False,0,0,0.0,False
1000,20000,full,1,85966848,0.678,False,0,0,0.0,False
1000,20000,full+html,1,84590592,0.671,False,0,63537152,0.229,False
10000,20000,dry-run,1,98795520,2.916,False,0,0,0.0,False
10000,20000,full,1,106364928,3.015,False,0,0,0.0,False
10000,20000,full+html,1,106594304,2.998,False,0,62980096,0.229,False
100000,20000,dry-run,1,357761024,176.158,False,0,0,0.0,False
100000,20000,full,1,358121472,176.692,False,0,0,0.0,False
100000,20000,full+html,1,347062272,176.745,False,0,178749440,0.447,False
1000,200000,dry-run,1,83820544,3.008,False,0,0,0.0,False
1000,200000,full,1,85098496,3.112,False,0,0,0.0,False
1000,200000,full+html,1,84951040,3.068,False,0,61259776,0.229,False
10000,200000,dry-run,1,102989824,7.114,False,0,0,0.0,False
10000,200000,full,1,107757568,7.214,False,0,0,0.0,False
10000,200000,full+html,1,109445120,7.265,False,0,132382720,0.338,False
1000,20000,full,2,84475904,0.666,False,0,0,0.0,False
1000,20000,full,3,84443136,0.657,False,0,0,0.0,False
10000,20000,full,2,95682560,3.115,False,0,0,0.0,False
10000,20000,full,3,107937792,3.097,False,0,0,0.0,False
100000,20000,full,2,356909056,176.531,False,0,0,0.0,False
100000,20000,full,3,356024320,176.804,False,0,0,0.0,False
