seed,family_type,initial_l1,final_l1,delta
42,single,9.0,9.0,0.0
42,couple,31.0,31.0,0.0
42,couple_and_children,111.0,79.0,-32.0
42,father_and_children,34.0,26.0,-8.0
42,mother_and_children,43.0,23.0,-20.0
42,couple_and_parents,36.0,36.0,0.0
42,couple_and_a_parent,16.0,10.0,-6.0
42,couple_children_and_parents,36.0,34.0,-2.0
42,couple_children_and_a_parent,48.0,42.0,-6.0
43,single,9.0,9.0,0.0
43,couple,31.0,31.0,0.0
43,couple_and_children,111.0,79.0,-32.0
43,father_and_children,34.0,26.0,-8.0
43,mother_and_children,43.0,23.0,-20.0
43,couple_and_parents,36.0,36.0,0.0
43,couple_and_a_parent,16.0,10.0,-6.0
43,couple_children_and_parents,36.0,34.0,-2.0
43,couple_children_and_a_parent,48.0,42.0,-6.0
44,single,9.0,9.0,0.0
44,couple,31.0,31.0,0.0
44,couple_and_children,111.0,79.0,-32.0
44,father_and_children,34.0,26.0,-8.0
44,mother_and_children,43.0,23.0,-20.0
44,couple_and_parents,36.0,36.0,0.0
44,couple_and_a_parent,16.0,10.0,-6.0
44,couple_children_and_parents,36.0,34.0,-2.0
44,couple_children_and_a_parent,48.0,42.0,-6.0
45,single,9.0,9.0,0.0
45,couple,31.0,31.0,0.0
45,couple_and_children,111.0,79.0,-32.0
45,father_and_children,34.0,26.0,-8.0
45,mother_and_children,43.0,23.0,-20.0
45,couple_and_parents,36.0,36.0,0.0
45,couple_and_a_parent,16.0,10.0,-6.0
45,couple_children_and_parents,36.0,34.0,-2.0
45,couple_children_and_a_parent,48.0,42.0,-6.0
46,single,9.0,9.0,0.0
46,couple,31.0,31.0,0.0
46,couple_and_children,111.0,79.0,-32.0
46,father_and_children,34.0,26.0,-8.0
46,mother_and_children,43.0,23.0,-20.0
46,couple_and_parents,36.0,36.0,0.0
46,couple_and_a_parent,16.0,10.0,-6.0
46,couple_children_and_parents,36.0,34.0,-2.0
46,couple_children_and_a_parent,48.0,42.0,-6.0
