seed,transition,evals_per_agent,stat_id,l1
1,age_change,1000,stat_00,374.0
1,age_change,1000,stat_01,310.0
1,age_change,1000,stat_02,130.0
1,age_change,1000,stat_03,753.0
1,age_change,1000,stat_04,631.0
1,age_change,1000,stat_05,45.0
1,age_change,1000,stat_06,0.0
1,age_change,1000,stat_07,85.0
1,age_change,1000,stat_08,70.0
1,age_change,1000,stat_09,258.0
1,age_change,1000,stat_10,137.0
1,age_change,1000,stat_11,91.0
1,age_change,1000,stat_12,38.0
1,age_change,1000,stat_13,68.0
1,age_change,1000,stat_14,47.0
1,age_change,1000,stat_15,106.0
1,age_change,1000,stat_16,73.0
1,age_change,1000,stat_17,43.0
1,age_change,1000,stat_18,7.0
1,age_change,1000,stat_19,82.0
1,age_change,1000,stat_20,88.0
1,age_change,1000,stat_21,92.0
1,age_change,1000,stat_22,116.0
1,age_swap,1000,stat_00,396.0
1,age_swap,1000,stat_01,390.0
1,age_swap,1000,stat_02,231.0
1,age_swap,1000,stat_03,857.0
1,age_swap,1000,stat_04,733.0
1,age_swap,1000,stat_05,45.0
1,age_swap,1000,stat_06,0.0
1,age_swap,1000,stat_07,85.0
1,age_swap,1000,stat_08,70.0
1,age_swap,1000,stat_09,358.0
1,age_swap,1000,stat_10,197.0
1,age_swap,1000,stat_11,107.0
1,age_swap,1000,stat_12,64.0
1,age_swap,1000,stat_13,112.0
1,age_swap,1000,stat_14,103.0
1,age_swap,1000,stat_15,106.0
1,age_swap,1000,stat_16,73.0
1,age_swap,1000,stat_17,43.0
1,age_swap,1000,stat_18,31.0
1,age_swap,1000,stat_19,86.0
1,age_swap,1000,stat_20,94.0
1,age_swap,1000,stat_21,100.0
1,age_swap,1000,stat_22,142.0
1,age_change,2000,stat_00,374.0
1,age_change,2000,stat_01,310.0
1,age_change,2000,stat_02,130.0
1,age_change,2000,stat_03,753.0
1,age_change,2000,stat_04,631.0
1,age_change,2000,stat_05,45.0
1,age_change,2000,stat_06,0.0
1,age_change,2000,stat_07,85.0
1,age_change,2000,stat_08,70.0
1,age_change,2000,stat_09,258.0
1,age_change,2000,stat_10,137.0
1,age_change,2000,stat_11,91.0
1,age_change,2000,stat_12,38.0
1,age_change,2000,stat_13,68.0
1,age_change,2000,stat_14,47.0
1,age_change,2000,stat_15,106.0
1,age_change,2000,stat_16,73.0
1,age_change,2000,stat_17,43.0
1,age_change,2000,stat_18,7.0
1,age_change,2000,stat_19,82.0
1,age_change,2000,stat_20,88.0
1,age_change,2000,stat_21,92.0
1,age_change,2000,stat_22,116.0
1,age_swap,2000,stat_00,396.0
1,age_swap,2000,stat_01,390.0
1,age_swap,2000,stat_02,231.0
1,age_swap,2000,stat_03,857.0
1,age_swap,2000,stat_04,733.0
1,age_swap,2000,stat_05,45.0
1,age_swap,2000,stat_06,0.0
1,age_swap,2000,stat_07,85.0
1,age_swap,2000,stat_08,70.0
1,age_swap,2000,stat_09,358.0
1,age_swap,2000,stat_10,197.0
1,age_swap,2000,stat_11,107.0
1,age_swap,2000,stat_12,64.0
1,age_swap,2000,stat_13,112.0
1,age_swap,2000,stat_14,103.0
1,age_swap,2000,stat_15,106.0
1,age_swap,2000,stat_16,73.0
1,age_swap,2000,stat_17,43.0
1,age_swap,2000,stat_18,31.0
1,age_swap,2000,stat_19,86.0
1,age_swap,2000,stat_20,94.0
1,age_swap,2000,stat_21,100.0
1,age_swap,2000,stat_22,142.0
1,age_change,4000,stat_00,374.0
1,age_change,4000,stat_01,310.0
1,age_change,4000,stat_02,130.0
1,age_change,4000,stat_03,753.0
1,age_change,4000,stat_04,631.0
1,age_change,4000,stat_05,45.0
1,age_change,4000,stat_06,0.0
1,age_change,4000,stat_07,85.0
1,age_change,4000,stat_08,70.0
1,age_change,4000,stat_09,258.0
1,age_change,4000,stat_10,137.0
1,age_change,4000,stat_11,91.0
1,age_change,4000,stat_12,38.0
1,age_change,4000,stat_13,68.0
1,age_change,4000,stat_14,47.0
1,age_change,4000,stat_15,106.0
1,age_change,4000,stat_16,73.0
1,age_change,4000,stat_17,43.0
1,age_change,4000,stat_18,7.0
1,age_change,4000,stat_19,82.0
1,age_change,4000,stat_20,88.0
1,age_change,4000,stat_21,92.0
1,age_change,4000,stat_22,116.0
1,age_swap,4000,stat_00,396.0
1,age_swap,4000,stat_01,390.0
1,age_swap,4000,stat_02,231.0
1,age_swap,4000,stat_03,857.0
1,age_swap,4000,stat_04,733.0
1,age_swap,4000,stat_05,45.0
1,age_swap,4000,stat_06,0.0
1,age_swap,4000,stat_07,85.0
1,age_swap,4000,stat_08,70.0
1,age_swap,4000,stat_09,358.0
1,age_swap,4000,stat_10,197.0
1,age_swap,4000,stat_11,107.0
1,age_swap,4000,stat_12,64.0
1,age_swap,4000,stat_13,112.0
1,age_swap,4000,stat_14,103.0
1,age_swap,4000,stat_15,106.0
1,age_swap,4000,stat_16,73.0
1,age_swap,4000,stat_17,43.0
1,age_swap,4000,stat_18,31.0
1,age_swap,4000,stat_19,86.0
1,age_swap,4000,stat_20,94.0
1,age_swap,4000,stat_21,100.0
1,age_swap,4000,stat_22,142.0
2,age_change,1000,stat_00,374.0
2,age_change,1000,stat_01,310.0
2,age_change,1000,stat_02,132.0
2,age_change,1000,stat_03,789.0
2,age_change,1000,stat_04,623.0
2,age_change,1000,stat_05,45.0
2,age_change,1000,stat_06,0.0
2,age_change,1000,stat_07,85.0
2,age_change,1000,stat_08,70.0
2,age_change,1000,stat_09,269.0
2,age_change,1000,stat_10,126.0
2,age_change,1000,stat_11,91.0
2,age_change,1000,stat_12,38.0
2,age_change,1000,stat_13,62.0
2,age_change,1000,stat_14,53.0
2,age_change,1000,stat_15,102.0
2,age_change,1000,stat_16,77.0
2,age_change,1000,stat_17,38.0
2,age_change,1000,stat_18,12.0
2,age_change,1000,stat_19,86.0
2,age_change,1000,stat_20,84.0
2,age_change,1000,stat_21,88.0
2,age_change,1000,stat_22,120.0
