seed,transition,evals_per_agent,stat_id,l1
1,age_change,500,stat_00,75.0
1,age_change,500,stat_01,62.0
1,age_change,500,stat_02,26.0
1,age_change,500,stat_03,156.0
1,age_change,500,stat_04,122.0
1,age_change,500,stat_05,9.0
1,age_change,500,stat_06,0.0
1,age_change,500,stat_07,17.0
1,age_change,500,stat_08,14.0
1,age_change,500,stat_09,51.0
1,age_change,500,stat_10,28.0
1,age_change,500,stat_11,18.0
1,age_change,500,stat_12,8.0
1,age_change,500,stat_13,13.0
1,age_change,500,stat_14,10.0
1,age_change,500,stat_15,20.0
1,age_change,500,stat_16,16.0
1,age_change,500,stat_17,9.0
1,age_change,500,stat_18,1.0
1,age_change,500,stat_19,17.0
1,age_change,500,stat_20,17.0
1,age_change,500,stat_21,17.0
1,age_change,500,stat_22,25.0
1,age_swap,500,stat_00,79.0
1,age_swap,500,stat_01,78.0
1,age_swap,500,stat_02,46.0
1,age_swap,500,stat_03,174.0
1,age_swap,500,stat_04,138.0
1,age_swap,500,stat_05,9.0
1,age_swap,500,stat_06,0.0
1,age_swap,500,stat_07,17.0
1,age_swap,500,stat_08,14.0
1,age_swap,500,stat_09,71.0
1,age_swap,500,stat_10,40.0
1,age_swap,500,stat_11,22.0
1,age_swap,500,stat_12,12.0
1,age_swap,500,stat_13,25.0
1,age_swap,500,stat_14,18.0
1,age_swap,500,stat_15,20.0
1,age_swap,500,stat_16,16.0
1,age_swap,500,stat_17,9.0
1,age_swap,500,stat_18,7.0
1,age_swap,500,stat_19,17.0
1,age_swap,500,stat_20,19.0
1,age_swap,500,stat_21,21.0
1,age_swap,500,stat_22,27.0
1,age_change,2000,stat_00,75.0
1,age_change,2000,stat_01,62.0
1,age_change,2000,stat_02,26.0
1,age_change,2000,stat_03,156.0
1,age_change,2000,stat_04,122.0
1,age_change,2000,stat_05,9.0
1,age_change,2000,stat_06,0.0
1,age_change,2000,stat_07,17.0
1,age_change,2000,stat_08,14.0
1,age_change,2000,stat_09,51.0
1,age_change,2000,stat_10,28.0
1,age_change,2000,stat_11,18.0
1,age_change,2000,stat_12,8.0
1,age_change,2000,stat_13,13.0
1,age_change,2000,stat_14,10.0
1,age_change,2000,stat_15,20.0
1,age_change,2000,stat_16,16.0
1,age_change,2000,stat_17,9.0
1,age_change,2000,stat_18,1.0
1,age_change,2000,stat_19,17.0
1,age_change,2000,stat_20,17.0
1,age_change,2000,stat_21,17.0
1,age_change,2000,stat_22,25.0
1,age_swap,2000,stat_00,79.0
1,age_swap,2000,stat_01,78.0
1,age_swap,2000,stat_02,46.0
1,age_swap,2000,stat_03,174.0
1,age_swap,2000,stat_04,138.0
1,age_swap,2000,stat_05,9.0
1,age_swap,2000,stat_06,0.0
1,age_swap,2000,stat_07,17.0
1,age_swap,2000,stat_08,14.0
1,age_swap,2000,stat_09,71.0
1,age_swap,2000,stat_10,40.0
1,age_swap,2000,stat_11,22.0
