seed,strategy,best_trial_id,best_score,composite,statistical_fit,utility_proxy,privacy_proxy
1,pareto,10,2831.0,0.654283,2831.0,0.963909,0.0
1,random_search,1,2263.0,0.523105,2263.0,0.770514,0.0
1,rule_based,1,2263.0,0.58929,2263.0,0.770514,0.0
2,pareto,10,2269.0,0.588663,2269.0,0.772557,0.0
2,random_search,10,2264.0,0.523336,2264.0,0.770855,0.0
2,rule_based,3,2264.0,0.58955,2264.0,0.770855,0.0
3,pareto,5,2261.0,0.589209,2261.0,0.769833,0.0
3,random_search,3,2264.0,0.523242,2264.0,0.770855,0.0
3,rule_based,1,2264.0,0.58955,2264.0,0.770855,0.0
4,pareto,2,2264.0,0.589697,2264.0,0.770855,0.0
4,random_search,3,2264.0,0.523336,2264.0,0.770855,0.0
4,rule_based,9,2264.0,0.58955,2264.0,0.770855,0.0
5,pareto,1,2264.0,0.573241,2264.0,0.770855,0.0
5,random_search,2,2264.0,0.52343,2264.0,0.770855,0.0
5,rule_based,8,2264.0,0.58955,2264.0,0.770855,0.0
