seed,trial_id,best_score,statistical_fit,utility_proxy,privacy_proxy
1,1,2263.0,2263.0,0.770514,0.0
1,2,2266.0,2266.0,0.771536,0.0
1,3,2267.0,2267.0,0.771876,0.0
1,4,2264.0,2264.0,0.770855,0.0
1,5,2265.0,2265.0,0.771195,0.0
1,6,2266.0,2266.0,0.771536,0.0
1,7,2269.0,2269.0,0.772557,0.0
1,8,2268.0,2268.0,0.772217,0.0
1,9,2265.0,2265.0,0.771195,0.0
1,10,2266.0,2266.0,0.771536,0.0
2,1,2266.0,2266.0,0.771536,0.0
2,2,2267.0,2267.0,0.771876,0.0
2,3,2264.0,2264.0,0.770855,0.0
2,4,2265.0,2265.0,0.771195,0.0
2,5,2266.0,2266.0,0.771536,0.0
2,6,2269.0,2269.0,0.772557,0.0
2,7,2268.0,2268.0,0.772217,0.0
2,8,2265.0,2265.0,0.771195,0.0
2,9,2266.0,2266.0,0.771536,0.0
2,10,2266.0,2266.0,0.771536,0.0
3,1,2264.0,2264.0,0.770855,0.0
3,2,2264.0,2264.0,0.770855,0.0
3,3,2265.0,2265.0,0.771195,0.0
3,4,2266.0,2266.0,0.771536,0.0
3,5,2269.0,2269.0,0.772557,0.0
3,6,2268.0,2268.0,0.772217,0.0
3,7,2265.0,2265.0,0.771195,0.0
3,8,2266.0,2266.0,0.771536,0.0
3,9,2266.0,2266.0,0.771536,0.0
3,10,2264.0,2264.0,0.770855,0.0
4,1,2265.0,2265.0,0.771195,0.0
4,2,2265.0,2265.0,0.771195,0.0
4,3,2266.0,2266.0,0.771536,0.0
4,4,2269.0,2269.0,0.772557,0.0
4,5,2268.0,2268.0,0.772217,0.0
4,6,2265.0,2265.0,0.771195,0.0
4,7,2266.0,2266.0,0.771536,0.0
4,8,2266.0,2266.0,0.771536,0.0
4,9,2264.0,2264.0,0.770855,0.0
4,10,2265.0,2265.0,0.771195,0.0
5,1,2265.0,2265.0,0.771195,0.0
5,2,2266.0,2266.0,0.771536,0.0
5,3,2269.0,2269.0,0.772557,0.0
5,4,2268.0,2268.0,0.772217,0.0
5,5,2265.0,2265.0,0.771195,0.0
5,6,2266.0,2266.0,0.771536,0.0
5,7,2266.0,2266.0,0.771536,0.0
5,8,2264.0,2264.0,0.770855,0.0
5,9,2265.0,2265.0,0.771195,0.0
5,10,2266.0,2266.0,0.771536,0.0
