seed,trial_id,best_score,statistical_fit,utility_proxy,privacy_proxy
1,1,455.0,455.0,0.775128,0.0
1,2,454.0,454.0,0.773424,0.0
1,3,453.0,453.0,0.771721,0.0
1,4,453.0,453.0,0.771721,0.0
1,5,453.0,453.0,0.771721,0.0
2,1,454.0,454.0,0.773424,0.0
2,2,453.0,453.0,0.771721,0.0
2,3,453.0,453.0,0.771721,0.0
2,4,453.0,453.0,0.771721,0.0
2,5,453.0,453.0,0.771721,0.0
3,1,453.0,453.0,0.771721,0.0
3,2,453.0,453.0,0.771721,0.0
3,3,453.0,453.0,0.771721,0.0
3,4,453.0,453.0,0.771721,0.0
3,5,453.0,453.0,0.771721,0.0
4,1,454.0,454.0,0.773424,0.0
4,2,453.0,453.0,0.771721,0.0
4,3,453.0,453.0,0.771721,0.0
4,4,453.0,453.0,0.771721,0.0
4,5,453.0,453.0,0.771721,0.0
5,1,453.0,453.0,0.771721,0.0
5,2,453.0,453.0,0.771721,0.0
5,3,453.0,453.0,0.771721,0.0
5,4,453.0,453.0,0.771721,0.0
5,5,454.0,454.0,0.773424,0.0
